arrest_date,race,charge_1_description,charge_1_type,charge_1_class,charge_2_description,charge_2_type,charge_2_class,charge_3_description,charge_3_type,charge_3_class,charge_4_description,charge_4_class,charge_4_type
2024-10-25 18:30:00,BLACK HISPANIC,LICENSING REQUIREMENTS/MOBILE FOOD DISPENSER,,L,,,,,,,,,
2024-10-25 18:01:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-25 18:02:00,BLACK,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,,,,
2024-10-25 17:45:00,WHITE,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,NO VALID REGISTRATION,,P,,,,,,
2024-10-25 17:41:00,BLACK,AGG UUW/VEHICLE/LOADED/NO FCCA,F,4,PARKING PROHIBITED-STANDING/PARKING POSTED,,L,,,,,,
2024-10-25 17:46:00,BLACK,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,,,,,,,,,
2024-10-25 17:50:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-25 17:22:00,WHITE HISPANIC,DRIVING RVK/SUSP DUI/SSS 2ND,F,4,BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,,L,,,,,,
2024-10-25 16:30:00,BLACK,CRIMINAL TRESPASS TO LAND,M,B,,,,,,,,,
2024-10-25 17:20:00,BLACK,AGG UUW/VEHICLE/LOADED/NO FCCA,F,4,AGG UUW/VEHICLE/LOADED/NO FCCA,F,4,,,,,,
2024-10-25 17:20:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,OBSTRUCTING IDENTIFICATION,M,A,POSS DRUG PARAPHERNALIA,M,B,,,
2024-10-25 16:39:00,BLACK,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,NO VALID REGISTRATION,,P,,,,,,
2024-10-25 17:07:00,BLACK,AGG ASSAULT/USE DEADLY WEAPON,M,A,CRIM TRESPASS TO RESIDENCE,M,A,,,,,,
2024-10-25 16:08:00,WHITE,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-25 17:00:00,BLACK,VIO OFFEN/YOUTH/REGIS/IL,F,3,,,,,,,,,
2024-10-25 17:36:00,BLACK,ARMED HABITUAL CRIMINAL,F,X,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,OBSTRUCTING STREET CAR TRAFFIC,P,
2024-10-25 16:10:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,PCS - DRUG PARAPHERNALIA - POSSESS,A,M
2024-10-25 16:50:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-25 16:20:00,WHITE,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-25 16:15:00,BLACK,CRIM DAMAGE TO PROPERTY <$500,M,A,CRIMINAL TRESPASS TO REAL PROPERTY,M,B,ISSUANCE OF WARRANT,,Z,,,
2024-10-25 16:11:00,WHITE,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,,,,
2024-10-25 14:30:00,BLACK,OBSTRUCTING AN OFFICER,M,A,,,,,,,,,
2024-10-25 15:00:00,BLACK,BATTERY - CAUSE BODILY HARM,M,A,,,,,,,,,
2024-10-25 14:30:00,BLACK,FIREARM W/O VALID FOID/ELIG,M,A,,,,,,,,,
2024-10-25 14:43:00,WHITE,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-25 13:18:00,WHITE HISPANIC,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,THEFT LOST/MISLAID/PROP/<$500,M,B,ASSAULT - SIMPLE,M,C,,,
2024-10-25 13:57:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-25 13:34:00,WHITE,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-25 13:57:00,WHITE HISPANIC,AID/ABET PERMIT POSSESSION TITLE/PLATE,M,A,DRIVING/NO LICENSE/PERMIT/AGE,M,B,BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,,L,NO VALID REGISTRATION,P,
2024-10-25 13:04:00,WHITE HISPANIC,AGG ASSAULT/USE DEADLY WEAPON,M,A,CRIMINAL TRESPASS TO LAND,M,B,,,,,,
2024-10-25 12:40:00,WHITE HISPANIC,OBSTRUCTING IDENTIFICATION,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-25 12:20:00,BLACK,UNLAWFUL USE BLACK-JACK/KNIFE,M,A,,,,,,,,,
2024-10-25 12:43:00,BLACK,CTA - TRESPASS ON/W/O PAYING (98-126-1.14C),,L,,,,,,,,,
2024-10-25 12:55:00,WHITE HISPANIC,CTA - TRESPASS ON/W/O PAYING (98-126-1.14C),,L,,,,,,,,,
2024-10-25 11:16:00,BLACK,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,,,,
2024-10-25 12:50:00,WHITE HISPANIC,THEFT -  LABOR/SERVICES/PROPERTY,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,,,
2024-10-25 13:07:00,BLACK,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-25 12:08:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-25 10:10:00,BLACK,FLS REPT TO PUBLIC SAFETY AGCY,M,A,,,,,,,,,
2024-10-25 12:29:00,BLACK,BURGLARY,F,2,,,,,,,,,
2024-10-25 12:00:00,WHITE HISPANIC,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-25 11:11:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-25 11:14:00,BLACK,MFG/DEL 1<15 GR FENTANYL/ANLG,F,1,,,,,,,,,
2024-10-25 11:06:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-25 11:52:00,BLACK,URINATE OR DEFECATE ON PUBLIC WAY,,L,,,,,,,,,
2024-10-25 11:14:00,BLACK,MFG/DEL 15<100 GR FENTANYL,F,X,MFG/DEL15<100 GR CACA/ANALOG,F,X,DRIVING ON REVOKED LICENSE,M,A,CANC/REVOKE/SUSPEND REGIS/IL,A,M
2024-10-25 11:20:00,BLACK,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,,,,
2024-10-25 11:05:00,BLACK,THEFT/UNAUTHORIZED CON/$500,M,A,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,
2024-10-25 11:04:00,BLACK HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-25 08:55:00,BLACK,BATTERY - CAUSE BODILY HARM,M,A,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,
2024-10-25 11:50:00,WHITE,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-25 10:12:00,BLACK,CHILD SEX OFFENDER/SCHOOL ZONE,F,4,CRIM DMG/GOVT PROP/<$500,F,4,ASSAULT - SIMPLE,M,C,,,
2024-10-25 09:39:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-25 10:33:00,BLACK,CRIM TRESPASS TO RESIDENCE,M,A,,,,,,,,,
2024-10-25 10:01:00,BLACK,CRIMINAL TRESPASS TO LAND,M,B,,,,,,,,,
2024-10-25 09:29:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,IVC - UNLAW STOPPING/STANDING/PARKING,,P,,,,,,
2024-10-25 09:50:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-25 09:02:00,BLACK,CRIM DAMAGE TO PROPERTY <$500,M,A,CRIMINAL TRESPASS TO REAL PROPERTY,M,B,,,,,,
2024-10-25 09:50:00,BLACK,CANC/REVOKE/SUSP REGIS NON-IL,M,A,DRVG SUSPENDED/UNPAID FEES/1&2,R,P,,,,,,
2024-10-25 08:57:00,BLACK,CANNABIS - MFG/DEL - SCHOOL - 30-500 GRMS,F,2,POSS CAN/>100-500 GRAM/1ST,F,4,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,,,
2024-10-25 09:12:00,BLACK,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,,,,
2024-10-25 09:10:00,BLACK,BURGLARY,F,2,,,,,,,,,
2024-10-25 09:32:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,PARKING PROHIBITED-STANDING/PARKING POSTED,,L,,,,,,
2024-10-25 09:05:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-25 08:04:00,BLACK,CRIMINAL TRESPASS - REMAIN ON LAND,M,B,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-25 07:51:00,BLACK,DRIVING ON SUSPENDED LICENSE,M,A,OPERATE UNINSURED MTR VEH/3+,,U,OVERTAKING VEHICLE ON LEFT,,L,,,
2024-10-25 08:05:00,BLACK,ARMED HABITUAL CRIMINAL,F,X,PCS - MFG/DEL1<15 GR COCAINE/ANLG,F,1,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,CANNABIS - MFG/DEL - 10-30 GRMS,4,F
2024-10-25 07:40:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,AGG ASSAULT/USE DEADLY WEAPON,M,A,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,
2024-10-25 08:05:00,BLACK,BATTERY - CAUSE BODILY HARM,M,A,,,,,,,,,
2024-10-25 07:03:00,WHITE HISPANIC,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,,,,
2024-10-25 07:30:00,WHITE,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-25 05:07:00,WHITE,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,
2024-10-25 05:07:00,BLACK,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-25 01:19:00,WHITE HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-25 04:30:00,WHITE,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-25 03:34:00,BLACK,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-25 00:15:00,BLACK,OBSTRUCTING IDENTIFICATION,M,A,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,ISSUANCE OF WARRANT,Z,
2024-10-25 02:13:00,WHITE,RETAIL THEFT - OBTAINS UNAUTHORIZED CONTROL <$300,M,A,BATTERY - MAKE PHYSICAL CONTACT,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,,,
2024-10-25 00:44:00,BLACK,DRIVING RVK/SUSP DUI/SSS 10-14,F,3,DRIVING ON REVOKED LICENSE,M,A,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-24 23:45:00,BLACK,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,CTA - SMOKING ON (98-126-1.8),,L,,,,,,
2024-10-24 23:25:00,WHITE HISPANIC,BATTERY - CAUSE BODILY HARM,M,A,,,,,,,,,
2024-10-24 23:22:00,BLACK,UUW - WEAPON - FELON/PAROLE-POSSESS/USE FIREARM PRIOR,F,2,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,
2024-10-24 22:50:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,UNLWFL POSS CANNABIS/PASS,M,A,,,,,,
2024-10-24 22:46:00,WHITE,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-24 22:34:00,BLACK,UUW - WEAPON - FELON POSSES WEAPON/2ND+,F,2,,,,,,,,,
2024-10-24 22:21:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,,,,,,
2024-10-24 22:30:00,WHITE,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,POSS CAN/>10-30 GRAMS/1ST,M,B,,,,,,
2024-10-24 22:27:00,BLACK,ARMED HABITUAL CRIMINAL,F,X,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,
2024-10-24 21:30:00,WHITE HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,VIOLATE ORDER PROTECTION,M,A,,,,,,
2024-10-24 21:18:00,BLACK,DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR,,L,ANNUAL GUN OFFENDER REGISTRATION,,L,,,,,,
2024-10-24 21:54:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 21:22:00,WHITE,METH - POSSESSION OF METH/15<100 GRAMS,F,1,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,RIDING BICYCLE ON SIDEWALK,,L,,,
2024-10-24 22:07:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,"LIGHT, TAIL LIGHTS REQUIRED",,L,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-24 21:59:00,BLACK,DRIVING ON SUSPENDED LICENSE,M,A,ANNUAL GUN OFFENDER REGISTRATION,,L,OPERATE UNINSURED MTR VEHICLE,,P,NO VALID REGISTRATION,P,
2024-10-24 21:53:00,WHITE HISPANIC,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,POSS CAN/>30-100 GRAM/1ST,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL BAC 0.08,A,M
2024-10-24 21:07:00,WHITE HISPANIC,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-24 21:30:00,BLACK,POSS TITLE/REGISTRATION W/O ASSIGNMENT,F,4,DRIVING ON SUSPENDED LICENSE,M,A,OPERATE UNINSURED MTR VEHICLE,,P,IVC - FAIL TO DISPLAY REGIS PLATE/DECAL 1ST&2ND,P,
2024-10-24 21:48:00,BLACK,DRIVING ON SUSPENDED LICENSE,M,A,ISSUANCE OF WARRANT,,Z,OPERATE UNINSURED MTR VEHICLE,,P,NO VALID REGISTRATION,P,
2024-10-24 20:09:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-24 21:32:00,WHITE,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-24 21:17:00,BLACK,CANC/REVOKE/SUSPEND REGIS/IL,M,A,UUW -  WEAPON - PUBLIC STREET/ALLEY/LANDS,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,ANNUAL GUN OFFENDER REGISTRATION,L,
2024-10-24 19:53:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-24 20:29:00,WHITE HISPANIC,ASSAULT - SIMPLE,M,C,,,,,,,,,
2024-10-24 21:06:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,ISSUANCE OF WARRANT,,Z,CTA - ALCOHOL/DRUGS ON (98-126-1.4),,L,,,
2024-10-24 19:20:00,BLACK,CRIMINAL TRESPASS TO LAND,M,B,,,,,,,,,
2024-10-24 20:32:00,WHITE HISPANIC,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-24 21:17:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,
2024-10-24 20:23:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,REGISTRATION PLATES,,L,,,,,,
2024-10-24 19:53:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,POSS CAN/>30-100 GRAM/1ST,M,A,,,,,,
2024-10-24 20:27:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,DISPLAY ST REG-FRONT/REAR,,L,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-24 20:07:00,WHITE HISPANIC,DRIVING ON SUSPENDED LICENSE,M,A,STOP AT STOP SIGN,,L,,,,,,
2024-10-24 17:43:00,BLACK,POSS CAN/>100-500 GRAM/1ST,F,4,DRIVING ON REVOKED LICENSE,M,A,NO VALID REGISTRATION,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-24 19:35:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-24 20:14:00,BLACK HISPANIC,NO VALID REGISTRATION,,P,UNLICENSED,,P,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-24 20:05:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-24 20:03:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 19:53:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-24 19:36:00,BLACK,POSS CAN/>30-100 GRAM/1ST,M,A,CTA - SOUND EMITTING DEVICES ON (98-126-1.5),,L,,,,,,
2024-10-24 19:31:00,BLACK,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,SOLICITING UNLAWFUL BUSINESS,,L,,,,,,
2024-10-24 18:23:00,BLACK,CRIMINAL TRESPASS TO LAND,M,B,,,,,,,,,
2024-10-24 19:01:00,BLACK,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,,,,,,,,,
2024-10-24 19:00:00,BLACK,AGG UUW/PERSON/LOADED/NO FCCA,F,4,,,,,,,,,
2024-10-24 17:58:00,BLACK,ASSAULT - SIMPLE,M,C,,,,,,,,,
2024-10-24 19:10:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 16:54:00,BLACK,UUW -  WEAPON - POSSESS/CARRY /CONCEAL WEAPON,F,4,POSS TITLE/REGISTRATION W/O ASSIGNMENT,F,4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,UNLWFL POSS CANNABIS/DRIVER,A,M
2024-10-24 18:40:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,,,,,,
2024-10-24 18:50:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-24 18:25:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,IVC - IMPROPER LANE CHANGE WITHOUT SIGNAL,,P,,,,,,
2024-10-24 17:53:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,EXPIRATION OF REGISTRATION,,P,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-24 17:29:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-24 17:26:00,BLACK,POSSESSION OF A STOLEN FIREARM,F,2,,,,,,,,,
2024-10-24 16:26:00,BLACK,ROBBERY/VIC HANDICAP OR 60+ YR,F,1,THEFT LOST/MISLAID/PROP/<$500,M,B,,,,,,
2024-10-24 16:55:00,BLACK,CRIMINAL TRESPASS TO REAL PROPERTY,M,B,,,,,,,,,
2024-10-24 16:47:00,WHITE HISPANIC,OPERATOR SIGNAL CHANGE LANE,,L,,,,,,,,,
2024-10-24 16:41:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-24 16:50:00,WHITE HISPANIC,UNLICENSED,,P,OPERATE UNINSURED MTR VEHICLE,,P,,,,,,
2024-10-24 15:40:00,WHITE HISPANIC,PCS - POSSESSION - 15+GRMS - COCAINE,F,1,CRIMINAL TRESPASS TO REAL PROPERTY,M,B,,,,,,
2024-10-24 17:04:00,BLACK,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,3,TURN IN FRONT OF MASS TRANSIT BUS,,L,BUS LANE-OTHER VEHICLE USING,,L,,,
2024-10-24 17:00:00,BLACK,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,UNLWFL USE CANNABIS/DRIVER,M,A,NO VALID REGISTRATION,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-24 15:24:00,BLACK,PCS - MFG/DEL - 10-30 GRMS - METH/ANLG,F,1,CANNABIS - MFG/DEL - 2.5-10 GRMS,M,A,,,,,,
2024-10-24 16:28:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,CRIM TRES TO VEH/PHY CONTROL,M,A,CRIMINAL TRESPASS TO LAND,M,B,,,
2024-10-24 16:00:00,BLACK,AGG UUW/VEHICLE/LOADED/NO FCCA,F,4,POSS CANNABIS IN PRIV VEH NOT IN SEALED CONTAINER,,L,IVC - IMPROPER LANE CHANGE WITHOUT SIGNAL,,P,,,
2024-10-24 15:45:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-24 16:00:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-24 15:40:00,WHITE,CRIMINAL TRESPASS TO REAL PROPERTY,M,B,,,,,,,,,
2024-10-24 15:33:00,BLACK,CRIM DAMAGE TO PROPERTY <$500,M,A,ANIMAL - CRUELTY TO ANIMALS,M,A,ISSUANCE OF WARRANT,,Z,,,
