date,primary_type,description,location_description,arrest,beat,district,ward,community_area,latitude,longitude
2020-05-26 20:43:00,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,0522,005,34,53,41.682265223,-87.627589748
2020-10-21 15:55:00,NARCOTICS,POSSESS - CRACK,STREET,True,1121,011,27,23,41.894513082,-87.708967365
2020-07-13 15:59:00,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,True,2431,024,49,1,42.007828724,-87.670576862
2020-10-01 00:00:00,ASSAULT,SIMPLE,RESIDENCE,True,1111,011,28,25,41.892517133,-87.745722214
2020-09-20 21:12:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,1022,010,24,29,41.865853297,-87.705652118
2020-06-23 19:39:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,True,0522,005,34,53,41.677213003,-87.629844926
2020-03-11 11:08:00,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,1532,015,37,25,41.888656822,-87.749114337
2020-06-13 22:43:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,1124,011,28,27,41.880263054,-87.706098653
2020-06-04 00:18:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,0523,005,34,53,41.675353708,-87.641827441
2020-02-29 19:40:00,ASSAULT,SIMPLE,RESIDENCE,True,0821,008,14,62,41.801123936,-87.717261299
2020-06-07 14:12:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,1014,010,24,29,41.859921099,-87.716451303
2020-05-15 23:50:00,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,True,0532,005,9,53,41.673207966,-87.617674109
2020-06-14 20:04:00,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,0512,005,34,49,41.70303513,-87.62816831
2020-04-03 20:00:00,BURGLARY,FORCIBLE ENTRY,OTHER (SPECIFY),True,1922,019,47,6,41.954323081,-87.666436795
2020-09-16 23:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,0612,006,17,71,41.756024579,-87.649420997
2020-10-20 13:17:00,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,0224,002,3,38,41.808407604,-87.616563802
2020-09-06 17:31:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,1115,011,28,26,41.882024507,-87.726462162
2020-06-07 18:34:00,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,1132,011,28,26,41.875254899,-87.72654824
2020-05-05 23:16:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,True,0213,002,3,38,41.817593665,-87.624682516
2020-09-14 14:00:00,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,True,0825,008,16,66,41.779125969,-87.692724188
2020-07-20 22:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,0612,006,21,71,41.74960262,-87.654927494
2020-09-04 00:57:00,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,0424,004,10,46,41.736675238,-87.545820662
2020-05-26 12:50:00,BATTERY,SIMPLE,DEPARTMENT STORE,True,0632,006,8,44,41.743125083,-87.605007694
2020-08-28 11:50:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,1134,011,24,29,41.867487947,-87.704479646
2020-04-15 12:00:00,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,RESIDENCE,True,1925,019,46,6,41.952802319,-87.648641167
2020-08-11 23:00:00,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,True,0133,001,3,35,41.842637721,-87.62689079
2020-03-28 09:00:00,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,True,2432,024,49,1,42.001032737,-87.665603433
2020-08-30 21:46:00,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,True,0933,009,20,61,41.80273315,-87.661167194
2020-06-17 00:00:00,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,True,0833,008,18,70,41.75361077,-87.715513275
2020-07-12 17:04:00,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,True,0734,007,17,67,41.75958044,-87.654848069
2020-04-09 07:20:00,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,True,0815,008,22,56,41.808449979,-87.74316789
2020-07-27 21:44:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,True,1112,011,27,23,41.899667469,-87.721332624
2020-05-20 14:40:00,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),VACANT LOT / LAND,True,1123,011,28,27,41.885452254,-87.712125721
2020-09-04 14:34:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,0631,006,8,44,41.745813125,-87.603493223
2020-10-11 20:30:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,CHA PARKING LOT / GROUNDS,True,0133,001,3,35,41.839804007,-87.627964177
2020-05-10 16:00:00,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,True,0132,001,3,33,41.855190551,-87.623871195
2020-01-25 08:45:00,NARCOTICS,MANUFACTURE / DELIVER - CRACK,VEHICLE NON-COMMERCIAL,True,0731,007,6,69,41.764568009,-87.632190432
2020-07-23 22:31:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,True,0934,009,20,61,41.800327411,-87.650171405
2020-04-23 17:00:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,1533,015,29,25,41.874030811,-87.748201104
2020-09-16 23:18:00,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,2514,025,30,19,41.938650783,-87.760452773
2020-09-15 06:36:00,ROBBERY,STRONG ARM - NO WEAPON,STREET,True,0912,009,12,59,41.827681913,-87.665496311
2020-03-13 16:26:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,True,0733,007,6,68,41.765138728,-87.648554452
2020-08-19 14:29:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,2221,022,21,73,41.722578383,-87.662706548
2020-08-11 18:15:00,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",POLICE FACILITY / VEHICLE PARKING LOT,True,0621,006,17,71,41.751928332,-87.644077264
2020-05-13 12:17:00,PROSTITUTION,SOLICITING FOR BUSINESS,STREET,True,2221,022,21,71,41.735335992,-87.663053811
2020-06-19 20:53:00,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,STREET,True,1911,019,47,5,41.954005002,-87.689067928
2020-08-05 03:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,2532,025,37,25,41.904052033,-87.756717683
2020-10-25 15:00:00,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,True,0413,004,7,48,41.726219145,-87.567294437
2020-10-12 07:12:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,0624,006,6,44,41.750675452,-87.606432206
2020-03-19 23:45:00,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,True,0922,009,15,58,41.809942043,-87.689372741
2020-10-30 16:30:00,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,0411,004,8,45,41.745882542,-87.597167639
2021-04-17 15:20:00,ROBBERY,VEHICULAR HIJACKING,RESIDENCE,True,0631,006,6,44,41.746626309,-87.618031954
2022-08-05 21:00:00,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,True,0324,003,5,69,41.763337967,-87.597001131
2019-08-17 13:14:00,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,True,1111,011,37,23,41.89621515,-87.728572048
2023-06-22 18:52:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,AUTO / BOAT / RV DEALERSHIP,True,1433,014,1,24,41.91065261,-87.66614577
2023-06-30 04:00:00,STALKING,CYBERSTALKING,POLICE FACILITY / VEHICLE PARKING LOT,True,0531,005,9,50,41.692833841,-87.60431945
2023-07-04 17:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,0224,002,3,38,41.80890316,-87.618139193
2020-07-26 03:00:00,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,True,0712,007,16,68,41.788766927,-87.650371164
2023-02-01 14:00:00,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,True,0232,002,20,40,41.788264552,-87.62229949
2023-08-17 15:15:00,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,1431,014,1,22,41.917656022,-87.688750258
2023-08-17 19:25:00,THEFT,RETAIL THEFT,STREET,True,1412,014,35,21,41.935883156,-87.716219645
2023-08-20 04:30:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,True,2522,025,36,19,41.917790125,-87.754624625
2023-08-20 06:00:00,THEFT,$500 AND UNDER,STREET,True,2522,025,26,19,41.917506742,-87.753392641
2023-08-21 07:28:00,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT / GROUNDS,True,1421,014,26,24,41.910962378,-87.694559852
2023-08-21 14:37:00,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,STREET,True,2522,025,26,19,41.921207741,-87.754832585
2023-08-22 11:44:00,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,1432,014,32,22,41.929743818,-87.684273777
2023-08-24 16:07:00,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,1424,014,1,24,41.903304304,-87.670064675
2023-08-26 02:15:00,CRIMINAL TRESPASS,TO LAND,RESTAURANT,True,2522,025,31,19,41.924248302,-87.745636923
2023-08-26 13:43:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,1712,017,39,14,41.972359593,-87.728142793
2023-08-27 01:16:00,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,1712,017,33,14,41.969229299,-87.713386363
2023-08-27 11:58:00,THEFT,RETAIL THEFT,APPLIANCE STORE,True,1432,014,32,22,41.928235818,-87.682084152
2023-08-27 13:16:00,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,1422,014,26,23,41.910107045,-87.707676543
2023-08-27 22:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,0833,008,23,65,41.761701305,-87.718642841
2023-08-28 06:23:00,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),True,2512,025,36,19,41.9301323,-87.785676799
2023-08-29 13:59:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,True,2532,025,37,25,41.906519104,-87.758359629
2023-08-30 15:28:00,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,1432,014,32,22,41.929743818,-87.684273777
2023-08-30 10:34:00,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,2524,025,35,22,41.928869943,-87.725672915
2023-08-31 17:12:00,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,2512,025,36,19,41.926287021,-87.785547998
2023-09-02 00:35:00,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,1424,014,1,24,41.903125362,-87.680983903
2023-09-02 01:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,0621,006,6,71,41.748232929,-87.641533277
2023-09-02 23:00:00,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,True,0432,004,10,52,41.71286177,-87.537694886
2023-09-03 03:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,0831,008,17,66,41.763423571,-87.705236576
2023-09-03 21:50:00,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,1622,016,45,11,41.98142637,-87.772997369
2023-09-04 19:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,0822,008,14,63,41.796510344,-87.708540596
2023-09-04 21:47:00,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,1634,016,31,15,41.945583621,-87.747047365
2023-09-04 22:10:00,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,1622,016,38,15,41.961202055,-87.777049892
2023-09-05 19:18:00,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,2515,025,29,25,41.915389329,-87.765701742
2023-09-05 19:22:00,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,True,2515,025,36,19,41.91943601,-87.775564587
2023-09-05 23:30:00,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,2533,025,37,25,41.902562633,-87.750879383
2023-09-05 22:54:00,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,1424,014,1,24,41.910505437,-87.676316472
2020-07-23 22:10:00,BATTERY,DOMESTIC BATTERY SIMPLE,GAS STATION,True,1533,015,28,25,41.880399914,-87.753008553
2020-02-25 13:04:00,CRIMINAL TRESPASS,TO LAND,RESTAURANT,True,1013,010,22,29,41.848474762,-87.724676285
2020-05-26 11:14:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,1134,011,28,27,41.872819865,-87.701949002
2020-06-01 20:11:00,THEFT,$500 AND UNDER,CONVENIENCE STORE,True,1732,017,45,16,41.953643409,-87.72801475
2020-07-19 11:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,2532,025,37,25,41.914718362,-87.756614335
2020-05-30 03:25:00,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,True,0112,001,42,32,41.879843886,-87.627718623
2020-06-26 23:40:00,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,True,1724,017,33,16,41.954837291,-87.711103124
2020-04-19 22:50:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,0725,007,15,67,41.773297415,-87.665316571
2020-06-13 18:15:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE - YARD (FRONT / BACK),True,0734,007,6,67,41.762308477,-87.655347143
2020-07-02 08:00:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,1631,016,38,17,41.942287436,-87.822807301
2020-09-26 21:45:00,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,True,0411,004,8,45,41.745292271,-87.588189295
2021-09-08 16:45:00,HOMICIDE,FIRST DEGREE MURDER,CAR WASH,True,1131,011,24,25,41.873191445,-87.743446563
2023-08-17 18:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,1731,017,30,16,41.939051438,-87.730438917
2023-09-06 19:00:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,1611,016,41,9,42.000299008,-87.807981016
2023-09-06 19:05:00,NARCOTICS,POSSESS - CRACK,STREET,True,1115,011,28,26,41.880414105,-87.72811149
2023-09-06 09:42:00,CRIMINAL TRESPASS,TO LAND,BANK,True,1214,012,34,28,41.887771177,-87.644304667
2023-09-06 03:30:00,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,APARTMENT,True,2522,025,35,20,41.921470593,-87.732801776
2023-09-06 01:21:00,BURGLARY,FORCIBLE ENTRY,PARKING LOT / GARAGE (NON RESIDENTIAL),True,2522,025,26,20,41.9206596,-87.740444827
2023-09-06 21:10:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,0421,004,7,43,41.755364837,-87.565826474
2023-09-06 02:10:00,CRIMINAL TRESPASS,TO LAND,BAR OR TAVERN,True,1623,016,45,15,41.961102078,-87.767263264
2023-09-06 23:25:00,ROBBERY,AGGRAVATED,BAR OR TAVERN,True,1911,019,40,4,41.967648053,-87.693769564
2020-06-22 07:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,0532,005,9,53,41.673831325,-87.620386834
2020-07-23 20:13:00,NARCOTICS,POSSESS - HEROIN (WHITE),VACANT LOT / LAND,True,1123,011,28,27,41.879580691,-87.711826402
2020-06-07 19:33:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VEHICLE NON-COMMERCIAL,True,0735,007,17,67,41.760439035,-87.672201358
2020-07-28 11:10:00,ASSAULT,AGGRAVATED - HANDGUN,STREET,True,1232,012,25,28,41.867189673,-87.644360507
2020-08-30 23:30:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,2422,024,49,1,42.019234358,-87.666925556
2023-09-06 22:52:00,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,1731,017,30,15,41.947428137,-87.747126039
2023-09-06 13:15:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,True,2423,024,49,1,42.014911903,-87.671128898
2020-09-25 05:29:00,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,True,0321,003,5,69,41.767812898,-87.593852468
2023-09-06 23:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,1921,019,32,5,41.946809107,-87.682641363
2020-06-03 23:59:00,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,1011,010,24,29,41.863740585,-87.72510055
2020-06-26 10:58:00,NARCOTICS,POSSESS - HEROIN (WHITE),RESIDENCE - YARD (FRONT / BACK),True,1112,011,37,23,41.895397607,-87.722912366
2020-09-19 20:27:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VEHICLE NON-COMMERCIAL,True,1412,014,35,21,41.939255207,-87.714070054
2023-09-06 19:03:00,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,2525,025,26,20,41.91715988,-87.727147152
2023-09-06 07:40:00,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,True,1655,016,41,76,41.974861952,-87.890372151
2023-09-06 11:45:00,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,GOVERNMENT BUILDING / PROPERTY,True,2533,025,37,25,41.909524018,-87.753986578
2023-09-06 19:00:00,NARCOTICS,POSSESS - HEROIN (WHITE),PARK PROPERTY,True,1123,011,28,27,41.883267969,-87.712150552
2023-09-06 08:46:00,BATTERY,SIMPLE,APARTMENT,True,2524,025,35,22,41.92537055,-87.725577509
2023-09-06 21:29:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,0932,009,16,61,41.800772595,-87.673275953
2023-09-06 18:18:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,0712,007,16,68,41.789994324,-87.652338285
2023-09-06 22:09:00,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,True,0323,003,6,69,41.758509638,-87.609349222
2020-08-20 15:19:00,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,PARKING LOT / GARAGE (NON RESIDENTIAL),True,1224,012,28,28,41.881470317,-87.665189884
2023-09-06 15:02:00,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,0924,009,15,61,41.80859321,-87.665577234
2023-09-06 14:49:00,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,1834,018,42,8,41.891694878,-87.626155832
2023-09-06 01:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,0632,006,8,44,41.739552385,-87.602475891
2020-10-08 18:08:00,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,True,0513,005,34,49,41.695275433,-87.626587071
2020-06-19 06:27:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,1522,015,29,25,41.882256871,-87.763791752
2023-09-06 17:12:00,THEFT,$500 AND UNDER,STREET,True,1423,014,26,24,41.904837592,-87.687751444
2023-09-06 21:25:00,CRIMINAL TRESPASS,TO LAND,PARKING LOT / GARAGE (NON RESIDENTIAL),True,0611,006,17,71,41.749880266,-87.663426578
2023-09-07 00:00:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE - YARD (FRONT / BACK),True,1522,015,29,25,41.879996761,-87.761814204
2020-08-16 03:03:00,BATTERY,SIMPLE,RESIDENCE,True,0612,006,17,71,41.74974473,-87.652507329
2023-09-06 00:56:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,0613,006,17,71,41.742274536,-87.651087579
2023-09-06 04:02:00,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,APARTMENT,True,2522,025,35,20,41.921470593,-87.732801776
2023-09-06 09:23:00,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,True,0332,003,5,43,41.769712828,-87.584666196
2023-09-06 21:25:00,ASSAULT,SIMPLE,RESIDENCE,True,2022,020,48,77,41.986181172,-87.658097002
2020-03-14 13:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,True,1222,012,27,27,41.881935685,-87.701844578
2020-09-16 14:40:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,0925,009,11,61,41.809860998,-87.645565723
2023-09-06 11:40:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,True,0813,008,13,56,41.788987036,-87.74147999
2023-09-06 06:08:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,2223,022,21,73,41.718823567,-87.643141787
2023-09-06 01:45:00,ROBBERY,AGGRAVATED,RESTAURANT,True,1921,019,47,5,41.947183891,-87.688269091
2023-09-06 00:02:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,0533,005,10,54,41.655594621,-87.596798862
2023-09-06 12:16:00,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,1132,011,24,29,41.866184155,-87.72428806
2023-09-06 00:55:00,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,True,0113,001,34,32,41.879060101,-87.626107881
2020-08-30 21:08:00,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,True,0333,003,5,43,41.76611512,-87.572146101
2023-09-06 04:45:00,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,True,0524,005,21,53,41.672333016,-87.643334855
2023-09-06 12:30:00,NARCOTICS,POSSESS - HEROIN (WHITE),PARK PROPERTY,True,0934,009,20,61,41.798945386,-87.654986779
2023-09-06 01:17:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,0123,001,34,32,41.870718789,-87.632569976
2023-09-06 21:41:00,NARCOTICS,POSSESS - HEROIN (BLACK TAR),SIDEWALK,True,0531,005,9,49,41.685826775,-87.620821877
2020-06-09 10:32:00,NARCOTICS,POSSESS - CRACK,VEHICLE NON-COMMERCIAL,True,1134,011,24,27,41.871512969,-87.705839075
2023-09-06 21:12:00,CRIMINAL TRESPASS,TO VEHICLE,STREET,True,0611,006,17,71,41.755239277,-87.673277249
2023-09-06 18:25:00,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,1834,018,42,8,41.891303157,-87.628055281
2023-09-06 21:00:00,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,True,0832,008,17,66,41.766062984,-87.681963712
2023-09-06 00:30:00,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,True,1222,012,27,27,41.881933769,-87.701995157
2023-09-06 20:01:00,NARCOTICS,POSSESS - BARBITURATES,STREET,True,0621,006,6,44,41.750757383,-87.636034766
2023-09-06 04:15:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,0233,002,5,41,41.801709383,-87.596697686
2023-09-06 14:30:00,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",SCHOOL - PUBLIC BUILDING,True,0123,001,4,32,41.872894484,-87.627560076
2023-09-06 17:34:00,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,0111,001,34,32,41.883500187,-87.627876698
2023-09-06 20:02:00,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,True,0431,004,7,51,41.718957929,-87.56568476
2020-07-16 22:03:00,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,1923,019,44,6,41.948050641,-87.657194575
2020-09-23 00:18:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,1522,015,29,25,41.877497847,-87.760382378
